"Booking ID",Date,Location,Description,"Sub total",Tax,Total
79438743,24/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79438743",£13.00,Free,£13.00
79271427,20/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79271427",£44.00,Free,£44.00
79152893,17/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79152893",£13.00,Free,£13.00
79150855,17/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79150855",£44.00,Free,£44.00
79109281,16/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79109281",£13.00,Free,£13.00
76599413,19/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #76599413",£120.00,Free,£120.00
79059328,15/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79059328",-£44.03,Free,-£44.03
79059328,15/Oct/2024,"Barker Drive, NW1 0JF","Payment for booking #79059328",£44.03,Free,£44.03
76174946,09/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
72018039,07/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
77328055,03/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #77328055",£108.00,Free,£108.00
73191578,01/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #73191578",£135.00,Free,£135.00
77552081,08/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #77552081",£44.00,Free,£44.00
76599413,18/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #76599413",£120.00,Free,£120.00
76174946,09/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
77364190,04/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #77364190",£44.00,Free,£44.00
72018039,07/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
73191578,01/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #73191578",£135.00,Free,£135.00
76993086,26/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #76993086",£44.00,Free,£44.00
76604013,18/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #76604013",£44.00,Free,£44.00
76362753,13/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #76362753",£44.00,Free,£44.00
75991864,05/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #75991864",£44.00,Free,£44.00
70688685,08/Jul/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
75968937,04/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #75968937",£44.00,Free,£44.00
72018039,07/Jul/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
75880752,03/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #75880752",£26.00,Free,£26.00
75861200,02/Aug/2024,"Barker Drive, NW1 0JF","Payment for booking #75861200",£44.00,Free,£44.00
73191578,02/Jul/2024,"Barker Drive, NW1 0JF","Payment for booking #73191578",£135.00,Free,£135.00
72251362,30/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72251362",-£150.36,Free,-£150.36
72251362,10/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72251362",£150.36,Free,£150.36
75279306,21/Jul/2024,"Barker Drive, NW1 0JF","Payment for booking #75279306",£44.00,Free,£44.00
70688685,08/Jun/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
72018039,07/Jun/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
73191578,07/Sep/2024,"Barker Drive, NW1 0JF","Payment for booking #73191578",-£134.57,Free,-£134.57
73191578,01/Jun/2024,"Barker Drive, NW1 0JF","Payment for booking #73191578",£135.00,Free,£135.00
72890224,25/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72890224",£150.00,Free,£150.00
70688685,08/May/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
72018039,05/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
73162254,31/May/2024,"Barker Drive, NW1 0JF","Payment for booking #73162254",£60.79,Free,£60.79
73121532,30/May/2024,"Barker Drive, NW1 0JF","Payment for booking #73121532",£135.00,Free,£135.00
72900413,26/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72900413",£12.00,Free,£12.00
72873772,25/May/2024,"Barker Drive, NW1 0JF","Payment for booking #72873772",£47.79,Free,£47.79
